scenario,year,variable,commodity,sector,subsector,value
BAU,2017,output,,AgFFF,,22699.0
BAU,2017,production cost,,AgFFF,,1.0
BAU,2017,capital demand,,AgFFF,,893.0
BAU,2017,labor demand,,AgFFF,,240.0
BAU,2017,CO2,,AgFFF,,630.9205
BAU,2017,energy demand,Coal,AgFFF,,685.0
BAU,2017,energy demand,RefPet,AgFFF,,936.0
BAU,2017,energy demand,ElecDist,AgFFF,,434.0
BAU,2017,energy demand,GasDist,AgFFF,,694.0
BAU,2017,domestic demand,,AgFFF,,22672.0
BAU,2017,commodity price,,AgFFF,,1.0
BAU,2017,investment,,AgFFF,,1.0
BAU,2017,government consumption,AgFFF,,,1.0
BAU,2017,household consumption,AgFFF,RuralHH,,18.0
BAU,2017,household consumption,AgFFF,UrbanHH,,26.0
BAU,2017,output,,Coal,,22719.0
BAU,2017,production cost,,Coal,,1.0
BAU,2017,capital demand,,Coal,,751.0
BAU,2017,labor demand,,Coal,,1069.0
BAU,2017,CO2,,Coal,,251.04369
BAU,2017,energy demand,Coal,Coal,,175.0
BAU,2017,energy demand,RefPet,Coal,,76.0
BAU,2017,energy demand,ElecDist,Coal,,341.0
BAU,2017,energy demand,GasDist,Coal,,278.0
BAU,2017,domestic demand,,Coal,,22714.0
BAU,2017,commodity price,,Coal,,1.0
BAU,2017,investment,,Coal,,1.0
BAU,2017,government consumption,Coal,,,0.0
BAU,2017,household consumption,Coal,RuralHH,,122.0
BAU,2017,household consumption,Coal,UrbanHH,,184.0
BAU,2017,output,,OilGas,,32491.0
BAU,2017,production cost,,OilGas,,1.0
BAU,2017,capital demand,,OilGas,,204.0
BAU,2017,labor demand,,OilGas,,4027.0
BAU,2017,CO2,,OilGas,,8963.082
BAU,2017,energy demand,Coal,OilGas,,893.0
BAU,2017,energy demand,RefPet,OilGas,,667.0
BAU,2017,energy demand,ElecDist,OilGas,,721.0
BAU,2017,energy demand,GasDist,OilGas,,959.0
BAU,2017,domestic demand,,OilGas,,32489.0
BAU,2017,commodity price,,OilGas,,1.0
BAU,2017,investment,,OilGas,,21.0
BAU,2017,government consumption,OilGas,,,25.0
BAU,2017,household consumption,OilGas,RuralHH,,5490.0
BAU,2017,household consumption,OilGas,UrbanHH,,3491.0
BAU,2017,output,,OXT,,28464.0
BAU,2017,production cost,,OXT,,1.0
BAU,2017,capital demand,,OXT,,1882.0
BAU,2017,labor demand,,OXT,,5160.0
BAU,2017,CO2,,OXT,,171.12613
BAU,2017,energy demand,Coal,OXT,,833.0
BAU,2017,energy demand,RefPet,OXT,,234.0
BAU,2017,energy demand,ElecDist,OXT,,889.0
BAU,2017,energy demand,GasDist,OXT,,964.0
BAU,2017,domestic demand,,OXT,,28413.0
BAU,2017,commodity price,,OXT,,1.0
BAU,2017,investment,,OXT,,256.0
BAU,2017,government consumption,OXT,,,329.0
BAU,2017,household consumption,OXT,RuralHH,,2200.0
BAU,2017,household consumption,OXT,UrbanHH,,3281.0
BAU,2017,output,,Leather,,25602.0
BAU,2017,production cost,,Leather,,1.0
BAU,2017,capital demand,,Leather,,399.0
BAU,2017,labor demand,,Leather,,754.0
BAU,2017,CO2,,Leather,,78.12661
BAU,2017,energy demand,Coal,Leather,,968.0
BAU,2017,energy demand,RefPet,Leather,,500.0
BAU,2017,energy demand,ElecDist,Leather,,960.0
BAU,2017,energy demand,GasDist,Leather,,294.0
BAU,2017,domestic demand,,Leather,,25589.0
BAU,2017,commodity price,,Leather,,1.0
BAU,2017,investment,,Leather,,0.0
BAU,2017,government consumption,Leather,,,1.0
BAU,2017,household consumption,Leather,RuralHH,,38.0
BAU,2017,household consumption,Leather,UrbanHH,,58.0
BAU,2017,output,,FoodPr,,21618.0
BAU,2017,production cost,,FoodPr,,1.0
BAU,2017,capital demand,,FoodPr,,456.0
BAU,2017,labor demand,,FoodPr,,31.0
BAU,2017,CO2,,FoodPr,,131.329
BAU,2017,energy demand,Coal,FoodPr,,348.0
BAU,2017,energy demand,RefPet,FoodPr,,30.0
BAU,2017,energy demand,ElecDist,FoodPr,,145.0
BAU,2017,energy demand,GasDist,FoodPr,,617.0
BAU,2017,domestic demand,,FoodPr,,21615.0
BAU,2017,commodity price,,FoodPr,,1.0
BAU,2017,investment,,FoodPr,,12.0
BAU,2017,government consumption,FoodPr,,,5.0
BAU,2017,household consumption,FoodPr,RuralHH,,40.0
BAU,2017,household consumption,FoodPr,UrbanHH,,59.0
BAU,2017,output,,Textile,,29952.0
BAU,2017,production cost,,Textile,,1.0
BAU,2017,capital demand,,Textile,,2018.0
BAU,2017,labor demand,,Textile,,3312.0
BAU,2017,CO2,,Textile,,166.96286
BAU,2017,energy demand,Coal,Textile,,970.0
BAU,2017,energy demand,RefPet,Textile,,410.0
BAU,2017,energy demand,ElecDist,Textile,,820.0
BAU,2017,energy demand,GasDist,Textile,,271.0
BAU,2017,domestic demand,,Textile,,29912.0
BAU,2017,commodity price,,Textile,,1.0
BAU,2017,investment,,Textile,,276.0
BAU,2017,government consumption,Textile,,,389.0
BAU,2017,household consumption,Textile,RuralHH,,3000.0
BAU,2017,household consumption,Textile,UrbanHH,,4411.0
BAU,2017,output,,Apparel,,26300.0
BAU,2017,production cost,,Apparel,,1.0
BAU,2017,capital demand,,Apparel,,87.0
BAU,2017,labor demand,,Apparel,,732.0
BAU,2017,CO2,,Apparel,,54.437237
BAU,2017,energy demand,Coal,Apparel,,468.0
BAU,2017,energy demand,RefPet,Apparel,,860.0
BAU,2017,energy demand,ElecDist,Apparel,,297.0
BAU,2017,energy demand,GasDist,Apparel,,324.0
BAU,2017,domestic demand,,Apparel,,26240.0
BAU,2017,commodity price,,Apparel,,1.0
BAU,2017,investment,,Apparel,,70.0
BAU,2017,government consumption,Apparel,,,9.0
BAU,2017,household consumption,Apparel,RuralHH,,9.0
BAU,2017,household consumption,Apparel,UrbanHH,,7174.0
BAU,2017,output,,WoodPr,,23888.0
BAU,2017,production cost,,WoodPr,,1.0
BAU,2017,capital demand,,WoodPr,,409.0
BAU,2017,labor demand,,WoodPr,,1582.0
BAU,2017,CO2,,WoodPr,,199.82997
BAU,2017,energy demand,Coal,WoodPr,,89.0
BAU,2017,energy demand,RefPet,WoodPr,,121.0
BAU,2017,energy demand,ElecDist,WoodPr,,281.0
BAU,2017,energy demand,GasDist,WoodPr,,712.0
BAU,2017,domestic demand,,WoodPr,,23834.0
BAU,2017,commodity price,,WoodPr,,1.0
BAU,2017,investment,,WoodPr,,8.0
BAU,2017,government consumption,WoodPr,,,5.0
BAU,2017,household consumption,WoodPr,RuralHH,,121.0
BAU,2017,household consumption,WoodPr,UrbanHH,,182.0
BAU,2017,output,,PaperPr,,27241.0
BAU,2017,production cost,,PaperPr,,1.0
BAU,2017,capital demand,,PaperPr,,132.0
BAU,2017,labor demand,,PaperPr,,3945.0
BAU,2017,CO2,,PaperPr,,48.05705
BAU,2017,energy demand,Coal,PaperPr,,385.0
BAU,2017,energy demand,RefPet,PaperPr,,217.0
BAU,2017,energy demand,ElecDist,PaperPr,,1072.0
BAU,2017,energy demand,GasDist,PaperPr,,391.0
BAU,2017,domestic demand,,PaperPr,,27167.0
BAU,2017,commodity price,,PaperPr,,1.0
BAU,2017,investment,,PaperPr,,35.0
BAU,2017,government consumption,PaperPr,,,40.0
BAU,2017,household consumption,PaperPr,RuralHH,,8.0
BAU,2017,household consumption,PaperPr,UrbanHH,,5220.0
BAU,2017,output,,RefPet,,20385.0
BAU,2017,production cost,,RefPet,,1.0
BAU,2017,capital demand,,RefPet,,538.0
BAU,2017,labor demand,,RefPet,,227.0
BAU,2017,CO2,,RefPet,,75.89668
BAU,2017,energy demand,Coal,RefPet,,177.0
BAU,2017,energy demand,RefPet,RefPet,,486.0
